 i    NS               R²               t=0.0080         t=0.076          t=1.652          t=10.742         t=28.114         t=37.208         t=43.37          t=43.498         t=44.172         t=46.696         t=58.668         t=88.856         t=115.58         t=115.606        t=116.27         t=118.292        t=120.99         t=126.384        t=136.494        t=146.604        t=156.714        t=163.724        t=163.784        t=164.12         t=165.3          t=167.154        t=170.186        t=177.94         t=202.204        t=226.4          t=250.676        t=279.614        t=279.722        t=280.24         t=281.08         t=283.774        t=285.796        t=309.032        t=332.306        t=355.54         t=376.892        t=377.162        t=377.794        t=379.478        t=382.004        t=385.378        t=389.924        t=394.472        t=420.914        t=447.374        t=471.66         t=473.516        t=476.888        t=481.442        t=487.678        t=494.428        t=518.822        t=557.042        t=575.24         
                 Observed Values:       0.0             -0.016           -0.053           -0.068           -0.071           -0.072           -0.073           -0.079           -0.105           -0.113           -0.117           -0.121           -0.12            -0.122           -0.137           -0.172           -0.178           -0.182           -0.184           -0.187           -0.188           -0.188           -0.192           -0.212           -0.237           -0.249           -0.255           -0.258           -0.261           -0.261           -0.257           -0.254           -0.255           -0.274           -0.296           -0.307           -0.315           -0.317           -0.317           -0.31            -0.31            -0.31            -0.336           -0.357           -0.377           -0.388           -0.394           -0.396           -0.397           -0.393           -0.388           -0.389           -0.431           -0.454           -0.472           -0.484           -0.492           -0.494           -0.496           
 13  -11.097184928419  0.5437557605804  0.0019197        0.0289687272727  0.2840868627450  0.4451370267639  0.4453844938440  0.4456308332296  0.44354          0.4245282741116  0.3734589155555  0.3397651381724  0.33693          0.3368686768987  0.3322377777777  0.3279081132075  0.2881725444596  0.2577130619012  0.2494086498951  0.2469906083969  0.2467101755540  0.24672          0.2467148181369  0.2467100109721  0.2406049056603  0.2280221965317  0.2097457365269  0.1961996020930  0.1862601264271  0.1787350968878  0.1768222473622  0.1767841154616  0.1768039786840  0.1768299946058  0.1721833905579  0.1658082763337  0.1601263952095  0.1494096352201  0.1443597142488  0.1270184495526  0.1246712890156  0.1241444581145  0.12314          0.1207242857142  0.1182780777013  0.1144973356009  0.1107284595387  0.1071032043266  0.1034434908984  0.1006604833209  0.0922619359120  0.0890063883890  0.0870190158730  0.0839654915254  0.0815748378378  0.0793766221374  0.0770986497730  0.0751025909627  0.0701659193623  0.0657531264275  0.064362        
 10  -11.168939382675  0.2594168625545  0.0012735999999  0.0111136086956  0.0721935068493  0.1967731775700  0.3158700082236  0.3360450494956  0.3384607142857  0.3332859405940  0.3237880947368  0.3085506932635  0.2851277112270  0.2761919242884  0.2737142105263  0.2729832075471  0.2669079052631  0.2592523299319  0.2529920125137  0.2446916549618  0.2356128161017  0.2302544461671  0.2270640279994  0.2254337210999  0.2240396226415  0.2219175111111  0.2185027305389  0.2151835840418  0.2112488492549  0.2042849236641  0.1922211048561  0.1860009207027  0.1823306274777  0.1794805409439  0.1783404950495  0.1770625307797  0.1758717604790  0.1734645777777  0.1721347584338  0.1631143162144  0.1577345112604  0.1538407433856  0.1505994736842  0.1500260150375  0.1493848887090  0.1482998497732  0.1471276628930  0.1459009268631  0.1445077891955  0.1433064753709  0.1378173620016  0.1338457248043  0.1303977777777  0.1293758474576  0.1283702625298  0.1273269961832  0.1260914411545  0.1249415732601  0.1214706699121  0.1170670052062  0.11523         
 9   -12.036150755457  0.4917946573883  0.002011975      0.0253371999999  0.2277882352941  0.4436211782381  0.4438542033840  0.4438695907006  0.44208          0.4261177157360  0.3867402735978  0.3526632653061  0.34627          0.3462432708771  0.3423408333333  0.3390888679245  0.3110759233926  0.2834273913043  0.2713948314606  0.2652830376103  0.2638402113615  0.2637226305081  0.2637049632664  0.2637000113026  0.2590173584905  0.2498930635838  0.2360789037682  0.2243523719206  0.2138207624330  0.2031836664709  0.1977112438648  0.1973624341996  0.1972762674518  0.1972100137370  0.1934805579399  0.1884881258549  0.1840112574850  0.1753379890985  0.1709069896149  0.1516747936112  0.1472954773599  0.1457997651740  0.1444           0.1423488721804  0.1402584985835  0.1370166524943  0.1337801081761  0.1305598838940  0.1272478919553  0.1245907929624  0.1155715581130  0.1114805040296  0.1086168253968  0.1057423728813  0.1034173134232  0.1012366793893  0.0988858826027  0.0968022808623  0.0914890635823  0.0862721503018  0.084434        
 19  -13.606234151496  0.0905694100949  0.0016324        0.0107063913043  0.0617939999999  0.1645896882494  0.2669667234042  0.3065616684841  0.3293636363636  0.3260678934010  0.3213360105263  0.3172293809874  0.3189970443335  0.3230325524075  0.3226054166666  0.3220469811320  0.3173601842105  0.3114322959183  0.3065472495646  0.2998368530534  0.2916509525519  0.2862586570743  0.2823923271650  0.2803247192192  0.2790781132075  0.2772709333333  0.2743030898203  0.2713441159799  0.2677725704702  0.2612435877862  0.2489452861626  0.2418171188974  0.2371968271524  0.2332307712980  0.2321312871287  0.2309416963064  0.2298250898203  0.2275176        0.2262177842998  0.2170910480101  0.2113393745653  0.2069991632609  0.2032994736842  0.2027360150375  0.2020848887090  0.2009763321995  0.1997587018867  0.1984467073533  0.1969680827950  0.1956460437699  0.1896735531149  0.1851613242103  0.1812877777777  0.1801733050847  0.1790770618589  0.1778924694656  0.1765196165051  0.1751976753761  0.1710940515178  0.1658830932638  0.16381         
 5   -14.715344591515  0.1158355735442  6.1985600000000  0.0103511304347  0.0662809315068  0.1798039234449  0.2928619847328  0.3365418538713  0.3616790909090  0.3574836206896  0.3512416552667  0.3449602107784  0.3476526383168  0.3598737371947  0.3623805405405  0.3617032075471  0.356134         0.3491258517573  0.3434118748951  0.3355190625954  0.3254621648331  0.3185333287953  0.3136472777590  0.3105770077489  0.3090894339622  0.3070823121387  0.3036953892215  0.3002460813492  0.2960453409017  0.2881480091015  0.2723304497593  0.2621165316133  0.2550034981924  0.2486312189797  0.2474123762376  0.2462122298221  0.2450520982035  0.2425872436058  0.2411758782171  0.2308239069111  0.2238605119380  0.2183155352405  0.2134347368421  0.2129454135338  0.2123386442735  0.2112763321995  0.2100587018867  0.2087201756475  0.2071831708749  0.2058012236601  0.1991859622568  0.1938469236163  0.1893093650793  0.1883661974944  0.1873378662194  0.1862049618320  0.1848598197709  0.1835316066154  0.1793677482276  0.1736668422605  0.17136         
 17  -15.204844787422  0.3911027496645  0.0036931999999  0.028531         0.2289343137254  0.4703383291159  0.4706042448814  0.4706340185147  0.46894          0.4554155583756  0.4250184324039  0.3986107142857  0.3935682818555  0.3935914265345  0.3899404761904  0.3871494339622  0.3633558337716  0.3399001400147  0.3300844138856  0.3252971269895  0.3243063400563  0.32425          0.3242397432448  0.3242300221878  0.3196803773584  0.3106718222222  0.2971740718562  0.2859006998037  0.2762688666709  0.2675674192601  0.2641684558955  0.2640158906090  0.2639561195557  0.2639599945174  0.2597223605150  0.2539258002735  0.2487366586826  0.2387704385744  0.2338851693220  0.2157524940883  0.2129323457498  0.2122936159609  0.21115          0.2083296992481  0.2054739821934  0.2010675510204  0.1966875371069  0.1924251811054  0.1882047592483  0.1849864685954  0.1754368369028  0.1722120768600  0.1700749206349  0.1655210537951  0.1620157066374  0.1588147328244  0.1554873672561  0.1526469551092  0.1458972078023  0.1402682176708  0.13864         
 14  -16.422760892772  0.2659656004850  0.0036204749999  0.0222023571428  0.1532972727272  0.4281420152671  0.4581708779034  0.4581635024449  0.4566785714285  0.4480472937293  0.4307000526315  0.4078282712200  0.3948892425132  0.3944711586738  0.3919450000000  0.3903533962264  0.3773140631578  0.3616895975627  0.3514208966006  0.3424447969465  0.3378395848323  0.3368333278867  0.3365526529058  0.3364302793120  0.3335833962264  0.3284063999999  0.3204835329341  0.3131581578373  0.3053696039476  0.2949925719318  0.2862283287451  0.2847415381953  0.2844832818846  0.2843800135391  0.2816342904290  0.2780477154582  0.2748216287425  0.2684929249475  0.2651514571373  0.2476601960811  0.2421607682710  0.2398829864198  0.2380115789473  0.2361325563909  0.2342045244840  0.2311931632653  0.2281561132075  0.2251450580529  0.2219519436288  0.2193402531788  0.2098161315771  0.2052257768679  0.2019568253968  0.1985710980103  0.1958483545120  0.1932872519083  0.1905485484563  0.1881384406379  0.1818272078023  0.1756168422605  0.17352         
 6   -17.020252004768  0.1275060563840  0.002983275      0.0156024444444  0.0916460178571  0.2473623987538  0.4020963640469  0.4369998426136  0.4418492857142  0.4371650761421  0.4285487578947  0.4148257789163  0.3952963566556  0.3895202749804  0.3875722916666  0.3867618867924  0.3800586263157  0.3716148044217  0.3647650441849  0.3561072900763  0.3475823686730  0.3431618134768  0.3408852614539  0.3398224258729  0.3381241509433  0.3353667999999  0.3310326347305  0.3268871746239  0.3220703579952  0.3138531121550  0.3013446750641  0.2961449510492  0.2936096581757  0.2920002872993  0.2903649504950  0.2883850478796  0.2865934730538  0.2830186666666  0.2810947023156  0.2686772647197  0.2620822784664  0.2577684497741  0.2543021052631  0.2532435338345  0.2520999716713  0.2502527891156  0.2483294415094  0.2463588776421  0.2442098120963  0.2423718955665  0.2346353650236  0.2294741904928  0.2251633333333  0.2230655084745  0.2212537257305  0.2194557480916  0.2174396768073  0.2156098007365  0.2104674331235  0.2046668096798  0.20236         
 8   -17.851114439898  0.1208058937256  0.006596525      0.0277225714285  0.1633486206896  0.4073274426685  0.4107029557736  0.4107           0.40962          0.4048598223350  0.3959142526315  0.3871849596686  0.38501          0.3850137332953  0.3830790476190  0.3819213043478  0.3722261789473  0.3620932936507  0.3575858846674  0.3553527786259  0.3548563338405  0.3548219734817  0.35482          0.35482          0.3521213207547  0.3469271999999  0.3390908862275  0.3326020863309  0.3272591433916  0.3228757633587  0.3215809291792  0.3215811267268  0.3215975142892  0.3216199948235  0.3182741914191  0.3136242134062  0.3094680838323  0.3016428528301  0.2980239921305  0.2872442495436  0.2862607699312  0.2860612044426  0.28499          0.2819242105263  0.2788482598138  0.2740956802721  0.2694315312368  0.2651228490622  0.2612185261303  0.2585091830973  0.2523417886502  0.2511090937859  0.2498230158730  0.2433647236551  0.2384914648777  0.2341464503816  0.2299290769473  0.2267030183106  0.2203741671106  0.2171225053169  0.21647         
 4   -19.272075346326  0.1428652328836  0.0051124        0.0245555714285  0.1531956976744  0.4223298259187  0.4661485405103  0.4661422527384  0.4648635714285  0.4585491878172  0.4463131368421  0.4308367298888  0.4230613673013  0.4228925346661  0.4207000000000  0.4194149275362  0.4087822105263  0.3962404450113  0.3885760381861  0.3826779049618  0.3801741560102  0.3797841987625  0.3796887270134  0.3796500881913  0.3770260377358  0.3721591999999  0.3647356886227  0.3579766906474  0.3511781687415  0.3432130886670  0.3382044602376  0.3377221182454  0.3376149151694  0.3375500129414  0.3346729042904  0.3308031326949  0.3273352215568  0.3205633895178  0.3170594052763  0.3015863848057  0.2982671433078  0.2971767362405  0.29597          0.2936433834586  0.2912891015783  0.2876412925170  0.2840062809224  0.2804397062617  0.2767785261303  0.2739220209137  0.2649868369028  0.2615748859165  0.2591155555555  0.2544685482682  0.2508835986583  0.2475861450381  0.2441629127989  0.2412368901358  0.2342272078023  0.2286951720492  0.22708         
 11  -21.724565330094  0.2287587264587  0.0070951        0.038146875      0.27145          0.5309231569343  0.5309410948758  0.5309106176583  0.52931          0.5187503299492  0.4977096421052  0.4837400949411  0.4822           0.4822183779635  0.4788649206349  0.4763524637681  0.4550273157894  0.4373517686072  0.4323021316561  0.4308394793893  0.43069          0.4306828016180  0.43069          0.43069          0.4257543396226  0.4155447999999  0.4007238323353  0.3903024918247  0.3835032167967  0.3796834468584  0.3791265107952  0.3791455629824  0.3791650282768  0.3791899948234  0.3734997029702  0.3654041450068  0.3582337724550  0.3456329584905  0.3405254892601  0.3291606759524  0.3287227156529  0.3286646394920  0.3271035714285  0.3223189473684  0.3175166815054  0.3101529365079  0.3031184746331  0.2970758856802  0.2920364122137  0.2888158459245  0.2828780461102  0.2821181896653  0.2805662499999  0.2714771923360  0.2646697542411  0.2587875572519  0.2532647442238  0.2492581102115  0.2425044614918  0.2395625160433  0.23912         

 i    NS               R²               t=0.0080         t=0.076          t=1.652          t=10.742         t=28.114         t=37.208         t=43.37          t=43.498         t=44.172         t=46.696         t=58.668         t=88.856         t=115.58         t=115.606        t=116.27         t=118.292        t=120.99         t=126.384        t=136.494        t=146.604        t=156.714        t=163.724        t=163.784        t=164.12         t=165.3          t=167.154        t=170.186        t=177.94         t=202.204        t=226.4          t=250.676        t=279.614        t=279.722        t=280.24         t=281.08         t=283.774        t=285.796        t=309.032        t=332.306        t=355.54         t=376.892        t=377.162        t=377.794        t=379.478        t=382.004        t=385.378        t=389.924        t=394.472        t=420.914        t=447.374        t=471.66         t=473.516        t=476.888        t=481.442        t=487.678        t=494.428        t=518.822        t=557.042        t=575.24         
